abilities;0; способности; 
able;0; в состоянии; 
about;1; около; 
above;0; выше; 
absolutely;0; абсолютно; 
accidentally;0; случайно; 
accidents;0; несчастные случаи; 
according;0; в соответствии; 
accused;0; обвиняемый; 
accustomed;0; привыкший; 
acne's;0; акне-х; 
act;0; акт; 
acting;0; действующий; 
action;0; действие; 
actually;0; на самом деле; 
add;0; Добавить; 
administered;0; вводить; 
admirable;0; замечательный; 
admitted;0; признал; 
adventure;1; приключение; 
afford;0; позволить себе; 
afraid;0; боюсь; 
after;0; после; 
again;0; еще раз; 
against;0; против; 
age;0; возраст; 
aggrieved;0; обиженный; 
ago;0; тому назад; 
agree;0; дать согласие; 
agreed;0; согласовано; 
air;0; воздух; 
alarte;0; alarte; 
albus;0; Альбус; 
alive;0; в живых; 
all;0; все; 
alley;0; аллея; 
allow;0; позволять; 
allowed;0; позволил; 
allows;0; позволяет; 
almost;0; почти; 
alone;0; в одиночестве; 
along;0; вдоль; 
already;0; уже; 
also;0; также; 
always;0; всегда; 
amazing;0; удивительно; 
ancient;0; древний; 
and;0; а также; 
angry;0; сердитый; 
animals;0; животные; 
annoying;0; раздражающий; 
annoyingly;0; раздражающе; 
another;0; другой; 
answer;0; ответ; 
answered;0; ответил; 
anxious;0; озабоченный; 
any;0; Любые; 
anybody;0; кто-нибудь; 
anymore;0; больше не; 
anyone;0; кто угодно; 
anything;0; что-нибудь; 
anyway;0; так или иначе; 
anywhere;0; в любом месте; 
aperio;0; Aperio; 
applause;0; аплодисменты; 
appropriate;0; подходящее; 
aragog;0; Aragog; 
arania;0; arania; 
are;0; находятся; 
aren't;0; не; 
argus;0; Аргус; 
arm;0; рука; 
around;0; вокруг; 
arrive;0; прибыть; 
arthur;0; Артур; 
artifacts;0; артефакты; 
arts;0; искусства; 
ascendare;0; ascendare; 
ashes;0; пепел; 
aside;0; в стороне; 
ask;0; просить; 
asked;0; спросил; 
asleep;0; спящий; 
assistant;0; помощник; 
associating;0; ассоциирования; 
assure;0; уверять; 
atop;0; сверху; 
attack;0; атака; 
attacked;0; атакован; 
attacker;0; атакующий; 
attacks;0; нападки; 
attention;0; внимание; 
attitude;0; отношение; 
auditory;0; слуховой; 
autobiography;0; автобиография; 
awaits;0; Ждет; 
award;0; награда; 
awards;0; награды; 
aware;0; знать; 
away;0; далеко; 
awful;0; ужасный; 
azkaban;0; Азкабан; 
baby;0; детка; 
back;0; назад; 
backfired;0; обратный эффект; 
bad;0; Плохо; 
ballet;0; балет; 
balls;0; мячи; 
bandon;0; Bandon; 
banshee;0; сирена воздушной тревоги; 
barrier;0; барьер; 
bars;0; брусья; 
basilisk;0; василиск; 
basilisk's;0; василиска; 
bathroom;0; ванная; 
beasts;0; скот; 
became;0; стал; 
because;0; потому как; 
bedroom;0; Спальня; 
beds;0; кровати; 
bee;0; пчела; 
been;0; было; 
befall;0; случаться; 
before;0; до; 
beg;0; очень прошу; 
began;0; начал; 
begin;0; начать; 
behave;0; вести себя; 
behind;0; за; 
being;0; являющийся; 
believe;0; верить; 
believed;0; Считается; 
belong;0; принадлежать; 
bend;0; изгиб; 
besides;0; Кроме; 
best;0; Лучший; 
bestseller;0; бестселлер; 
bet;0; делать ставку; 
better;0; лучше; 
between;0; между; 
beware;0; остерегаться; 
big;0; большой; 
biggest;0; самый большой; 
bird;0; птица; 
bird's;0; птичий; 
birthday;0; день рождения; 
bit;0; немного; 
blabbing;0; болтая; 
blame;0; вина; 
blast;0; взрыв; 
blighters;0; гады; 
blimey;0; вот это да; 
blinded;0; ослепил; 
block;0; блок; 
blood;0; кровь; 
bloods;0; кровей; 
bloody;0; кровавый; 
blotts;0; Блоттс; 
bludger;0; бладжер; 
body;0; тело; 
bones;0; скелет; 
bonnet;0; капот; 
book;0; книга; 
booked;0; забронированы; 
books;0; книги; 
bookshop;0; книжный магазин; 
booster;0; ракета-носитель; 
boot;0; ботинок; 
bored;0; скучающий; 
born;0; Родился; 
borns;0; Новорожденным; 
boss;0; босс; 
both;0; и то и другое; 
bound;0; связанный; 
box;0; коробка; 
boy;0; мальчик; 
boys;0; мальчиков; 
brackium;0; brackium; 
brainless;0; безмозглый; 
brave;0; Храбрый; 
breakfast;0; завтрак; 
breaking;0; ломка; 
brewed;0; варится; 
brewing;0; пивоварение; 
brilliant;0; блестящий; 
bring;0; приносить; 
broad;0; широкий; 
broken;0; сломанный; 
